timestamp,measurement_id,instrument_id,mode,value,unit
2026-05-21T14:42:48.589829Z,d323206d-b3ba-47f5-8e2c-1de308a589c8,,OHM,1005.0249731867444,Ω
2026-05-21T14:42:48.852723Z,ff0ea2e8-9818-4eb7-be54-f9ba94c25805,,OHM,1003.6626647572219,Ω
2026-05-21T14:42:49.113878Z,7758e621-ef56-4237-81ab-bada7605f2ad,,OHM,1003.9502596982843,Ω
2026-05-21T14:42:49.376124Z,19811d06-1af6-4734-8859-f7e0fcc5703b,,OHM,996.198418292629,Ω
2026-05-21T14:48:01.228989Z,37bf395a-d51f-40e2-9b8d-aace7900659c,,OHM,1005.9403443794603,Ω
2026-05-21T14:48:01.484270Z,b93e6173-99b5-44a0-aefa-8b1a61b67501,,OHM,993.9374537942967,Ω
2026-05-21T14:48:01.750140Z,103cdb58-c37c-45db-86f7-cf3ebbcd75fe,,OHM,995.3776440750725,Ω
2026-05-21T14:48:02.011118Z,a56958bd-08ee-481c-8781-e840c5cfcb23,,OHM,1005.7665707969088,Ω
2026-05-21T14:48:08.445258Z,075e639e-25d0-4741-bb24-1597373426b7,,OHM,1003.5076722919398,Ω
2026-05-21T14:48:08.706904Z,3cde8672-97ae-4bcc-870a-6fe1e1ecc560,,OHM,1005.3289658474364,Ω
2026-05-21T14:48:08.968605Z,5ddc1359-8b16-4d4a-ad77-42cd656ee539,,OHM,1004.5648582180556,Ω
2026-05-21T14:48:09.229718Z,731d806f-f144-425b-ba9a-757024723a43,,OHM,1005.2972456228832,Ω
2026-05-21T14:48:09.497287Z,905cc2ed-603f-4bb9-b634-40dc7e31535c,,OHM,999.547234557066,Ω
2026-05-21T14:48:09.766941Z,c793c994-d964-4bd6-8f03-4ae459a1973a,,OHM,999.3142301931017,Ω
2026-05-21T14:48:10.029725Z,956d9841-4a67-48f7-88a8-af617e1cd386,,OHM,993.2383251878663,Ω
2026-05-21T14:48:10.291132Z,74f3a8e5-5cb9-41c7-a496-b96f0d9d2504,,OHM,1003.3746873376879,Ω
2026-05-21T14:48:10.552714Z,f6fe0304-a618-44ae-b404-984859ab16ec,,OHM,1009.6418778976847,Ω
2026-05-21T14:48:10.814817Z,e04ff2d4-04f1-4492-ad6a-b5830a837408,,OHM,1008.9212887819988,Ω
2026-05-21T14:48:11.084325Z,95b31ab3-52a1-47d3-9bd5-bc0db531e16a,,OHM,1007.8258097220051,Ω
2026-05-21T14:48:11.347194Z,cf7d8e7e-1eed-4353-9cb1-540017502ab1,,OHM,999.9289748888292,Ω
2026-05-21T14:48:11.608355Z,785e8135-d1db-441e-9b36-e1046e119a54,,OHM,1004.7544404055818,Ω
2026-05-21T14:48:11.871372Z,2540bc66-916f-47db-b035-81bd67efa216,,OHM,1009.5902103656897,Ω
2026-05-21T14:48:21.371845Z,5bb77074-b0b4-4320-b63c-1184abfe5b23,,OHM,1001.4370770362423,Ω
2026-05-21T14:48:22.384581Z,fc51747e-a7f6-4851-ae2b-6cae69de7ccc,,OHM,991.506941184893,Ω
2026-05-21T14:48:23.403135Z,38ad44c0-2284-497c-9ebe-0883434548d9,,OHM,1005.2078368382777,Ω
2026-05-21T14:48:24.418122Z,fceec1d1-dfe3-4d55-8848-e2ddfb6356a0,,OHM,1006.9846656227028,Ω
2026-05-21T14:48:25.755401Z,31e3f4d1-b55b-40ec-8757-8a8f4c654636,,OHM,992.2481114646644,Ω
2026-05-21T14:48:26.769208Z,ed68492e-79e5-4876-9d1b-55df85c32ed4,,OHM,1007.8314672087668,Ω
2026-05-21T14:48:27.782018Z,7e67af9e-24c4-410c-a05c-fbce6ba7be00,,OHM,1004.0969383047099,Ω
2026-05-21T14:48:28.799158Z,de458df9-6fd8-40c8-b1b1-b7caa0447cd4,,OHM,1004.0213654309629,Ω
2026-05-21T14:48:29.811698Z,917547f4-fada-4ade-8278-29d632e585aa,,OHM,990.5201233012066,Ω
2026-05-21T15:58:32.469713Z,e72e16c3-280f-41f6-80f7-faef96ed2258,,OHM,3.3111325942678547,V
2026-05-21T15:58:32.747766Z,92dadd1b-fedc-4047-ab85-e1ada9a62f1d,,OHM,3.278561222384492,V
2026-05-21T15:58:33.013438Z,855185fd-e59d-42fa-8c98-c917876c9b09,,OHM,3.3122675834451183,V
2026-05-21T15:58:33.274294Z,a2fad505-d755-4d1f-87ab-0448f095774e,,OHM,3.269701930644186,V
2026-05-21T15:58:33.554587Z,fba28c3f-f372-4e1d-9485-c4979c20f5a0,,OHM,3.317210985056264,V
